Index Stock,Type,Symbol,ySymbol
NIFTY COMPOSITE G-SEC,Fixed Income,NIFTYGSCOMP,NIFTYGSCOMP.NS
NIFTY 8-13 YR G-SEC,Fixed Income,NIFTY8-13-YR-GSEC,NIFTY8-13-YR-GSEC.NS
NIFTY 10 YR BENCHMARK G-SEC,Fixed Income,NIFTY-10-YR-BMGSEC,NIFTY-10-YR-BMGSEC.NS
NIFTY 4-8 YR G-SEC,Fixed Income,NIFTY-4-8-YR-GESC,NIFTY-4-8-YR-GESC.NS
NIFTY 1D RATE,Fixed Income,NIFTY-1D-RATE,NIFTY-1D-RATE.NS
NIFTY 15 YR AND ABOVE G-SEC,Fixed Income,NIFTY15YRABOVEGESC,NIFTY15YRABOVEGESC.NS
NIFTY 11-15 YR G-SEC,Fixed Income,NIFTY-11-15-YR-GESC,NIFTY-11-15-YR-GESC.NS
