Symbol,Currency Pair
EURUSD=X,EUR/USD
USDEUR=X,USD/EUR
USDINR=X,USD/INR
EURINR=X,EUR/INR
INRGBP=X,INR/GBP
INRUSD=X,INR/USD
USDJPY=X,USD/JPY
USDHKD=X,USD/HKD
USDSGD=X,USD/SGD
GBPUSD=X,GBP/USD
USDMXN=X,USD/MXN
USDPHP=X,USD/PHP
USDIDR=X,USD/IDR
USDTHB=X,USD/THB
USDMYR=X,USD/MYR
USDZAR=X,USD/ZAR
USDRUB=X,USD/RUB
USDCHF=X,USD/CHF
