Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-22 00:00:00+02:00,10896.2802734375,11138.150390625,10867.169921875,11073.8701171875,86150600,0.0,0.0
2020-05-25 00:00:00+02:00,11186.0400390625,11391.2802734375,11118.1201171875,11391.2802734375,72133500,0.0,0.0
2020-05-26 00:00:00+02:00,11488.990234375,11544.349609375,11429.8798828125,11504.650390625,124580900,0.0,0.0
2020-05-27 00:00:00+02:00,11530.2001953125,11747.2001953125,11519.76953125,11657.6904296875,168966900,0.0,0.0
2020-05-28 00:00:00+02:00,11746.7802734375,11813.1396484375,11654.830078125,11781.1298828125,124127000,0.0,0.0
2020-05-29 00:00:00+02:00,11649.3701171875,11729.98046875,11575.740234375,11586.849609375,170600400,0.0,0.0
2020-06-02 00:00:00+02:00,11896.7001953125,12055.5703125,11850.33984375,12021.2802734375,143102700,0.0,0.0
2020-06-03 00:00:00+02:00,12147.1201171875,12507.41015625,12133.7001953125,12487.3603515625,152036900,0.0,0.0
2020-06-04 00:00:00+02:00,12390.0302734375,12558.240234375,12326.4404296875,12430.5595703125,138856600,0.0,0.0
2020-06-05 00:00:00+02:00,12565.16015625,12858.7900390625,12560.1904296875,12847.6796875,168928500,0.0,0.0
2020-06-08 00:00:00+02:00,12722.6796875,12913.1298828125,12670.9501953125,12819.58984375,140371700,0.0,0.0
2020-06-09 00:00:00+02:00,12859.830078125,12864.91015625,12502.4501953125,12617.990234375,145984300,0.0,0.0
2020-06-10 00:00:00+02:00,12719.150390625,12763.8896484375,12471.0595703125,12530.16015625,112489400,0.0,0.0
2020-06-11 00:00:00+02:00,12223.419921875,12301.9501953125,11970.2900390625,11970.2900390625,133278800,0.0,0.0
2020-06-12 00:00:00+02:00,11876.33984375,12172.6298828125,11828.66015625,11949.2802734375,118016300,0.0,0.0
2020-06-15 00:00:00+02:00,11661.3603515625,11968.0595703125,11597.8203125,11911.349609375,99879200,0.0,0.0
2020-06-16 00:00:00+02:00,12168.3701171875,12434.26953125,12132.7998046875,12315.66015625,122780400,0.0,0.0
2020-06-17 00:00:00+02:00,12312.4404296875,12432.23046875,12288.169921875,12382.1396484375,102040400,0.0,0.0
2020-06-18 00:00:00+02:00,12347.490234375,12483.83984375,12189.669921875,12281.5302734375,154821700,0.0,0.0
2020-06-19 00:00:00+02:00,12375.1796875,12447.150390625,12319.1904296875,12330.759765625,227975200,0.0,0.0
2020-06-22 00:00:00+02:00,12194.48046875,12399.3701171875,12172.1201171875,12262.9697265625,91977200,0.0,0.0
2020-06-23 00:00:00+02:00,12360.08984375,12616.1201171875,12332.099609375,12523.759765625,113421700,0.0,0.0
2020-06-24 00:00:00+02:00,12459.8095703125,12489.240234375,12093.9404296875,12093.9404296875,102775200,0.0,0.0
2020-06-25 00:00:00+02:00,12102.25,12236.4599609375,11957.3095703125,12177.8701171875,128245800,0.0,0.0
2020-06-26 00:00:00+02:00,12308.48046875,12347.4501953125,12060.8896484375,12089.3896484375,111965200,0.0,0.0
2020-06-29 00:00:00+02:00,12090.41015625,12297.6796875,12045.259765625,12232.1201171875,121308400,0.0,0.0
2020-06-30 00:00:00+02:00,12287.9404296875,12350.349609375,12188.08984375,12310.9296875,124633200,0.0,0.0
2020-07-01 00:00:00+02:00,12391.7197265625,12391.7197265625,12095.1103515625,12260.5703125,81131500,0.0,0.0
2020-07-02 00:00:00+02:00,12378.7998046875,12658.169921875,12370.7197265625,12608.4599609375,103857000,0.0,0.0
2020-07-03 00:00:00+02:00,12644.599609375,12649.98046875,12476.1298828125,12528.1796875,54014400,0.0,0.0
2020-07-06 00:00:00+02:00,12774.76953125,12842.58984375,12655.2099609375,12733.4501953125,78193500,0.0,0.0
2020-07-07 00:00:00+02:00,12660.08984375,12661.1201171875,12525.1796875,12616.7998046875,78792300,0.0,0.0
2020-07-08 00:00:00+02:00,12542.580078125,12670.1904296875,12463.2197265625,12494.8095703125,74362600,0.0,0.0
2020-07-09 00:00:00+02:00,12639.169921875,12709.6796875,12459.16015625,12489.4599609375,76140500,0.0,0.0
2020-07-10 00:00:00+02:00,12442.2197265625,12649.990234375,12416.6904296875,12633.7099609375,72727400,0.0,0.0
2020-07-13 00:00:00+02:00,12817.1904296875,12836.41015625,12688.9404296875,12799.9697265625,72522700,0.0,0.0
2020-07-14 00:00:00+02:00,12642.23046875,12697.91015625,12535.900390625,12697.3603515625,76739200,0.0,0.0
2020-07-15 00:00:00+02:00,12812.1103515625,12999.83984375,12773.4404296875,12930.98046875,78620200,0.0,0.0
2020-07-16 00:00:00+02:00,12857.2998046875,12919.23046875,12805.4697265625,12874.9697265625,68007000,0.0,0.0
2020-07-17 00:00:00+02:00,12915.26953125,12954.25,12870.26953125,12919.6103515625,75182300,0.0,0.0
