Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-22 00:00:00+05:30,9067.900390625,9149.599609375,8968.5498046875,9039.25,675800,0.0,0.0
2020-05-26 00:00:00+05:30,9099.75,9161.650390625,8996.650390625,9029.0498046875,655000,0.0,0.0
2020-05-27 00:00:00+05:30,9082.2001953125,9334.0,9004.25,9314.9501953125,763500,0.0,0.0
2020-05-28 00:00:00+05:30,9364.9501953125,9511.25,9336.5,9490.099609375,837900,0.0,0.0
2020-05-29 00:00:00+05:30,9422.2001953125,9598.849609375,9376.900390625,9580.2998046875,967000,0.0,0.0
2020-06-01 00:00:00+05:30,9726.849609375,9931.599609375,9706.9501953125,9826.150390625,794200,0.0,0.0
2020-06-02 00:00:00+05:30,9880.849609375,9995.599609375,9824.0498046875,9979.099609375,770200,0.0,0.0
2020-06-03 00:00:00+05:30,10108.2998046875,10176.2001953125,10035.5498046875,10061.5498046875,794700,0.0,0.0
2020-06-04 00:00:00+05:30,10054.25,10123.849609375,9944.25,10029.099609375,775100,0.0,0.0
2020-06-05 00:00:00+05:30,10093.7998046875,10177.7998046875,10040.75,10142.150390625,987100,0.0,0.0
2020-06-08 00:00:00+05:30,10326.75,10328.5,10120.25,10167.4501953125,936500,0.0,0.0
2020-06-09 00:00:00+05:30,10181.150390625,10291.150390625,10021.4501953125,10046.650390625,754200,0.0,0.0
2020-06-10 00:00:00+05:30,10072.599609375,10148.75,10036.849609375,10116.150390625,632400,0.0,0.0
2020-06-11 00:00:00+05:30,10094.099609375,10112.0498046875,9885.0498046875,9902.0,715500,0.0,0.0
2020-06-12 00:00:00+05:30,9544.9501953125,9996.0498046875,9544.349609375,9972.900390625,796300,0.0,0.0
2020-06-15 00:00:00+05:30,9919.349609375,9943.349609375,9726.349609375,9813.7001953125,716100,0.0,0.0
2020-06-16 00:00:00+05:30,10014.7998046875,10046.150390625,9728.5,9914.0,899900,0.0,0.0
2020-06-17 00:00:00+05:30,9876.7001953125,10003.599609375,9833.7998046875,9881.150390625,685400,0.0,0.0
2020-06-18 00:00:00+05:30,9863.25,10111.2001953125,9845.0498046875,10091.650390625,622900,0.0,0.0
2020-06-19 00:00:00+05:30,10119.0,10272.400390625,10072.650390625,10244.400390625,892100,0.0,0.0
2020-06-22 00:00:00+05:30,10318.75,10393.650390625,10277.599609375,10311.2001953125,685400,0.0,0.0
2020-06-23 00:00:00+05:30,10347.9501953125,10484.7001953125,10301.75,10471.0,669200,0.0,0.0
2020-06-24 00:00:00+05:30,10529.25,10553.150390625,10281.9501953125,10305.2998046875,854800,0.0,0.0
2020-06-25 00:00:00+05:30,10235.5498046875,10361.7998046875,10194.5,10288.900390625,994200,0.0,0.0
2020-06-26 00:00:00+05:30,10378.900390625,10409.849609375,10311.25,10383.0,671900,0.0,0.0
2020-06-29 00:00:00+05:30,10311.9501953125,10337.9501953125,10223.599609375,10312.400390625,574500,0.0,0.0
2020-06-30 00:00:00+05:30,10382.599609375,10401.0498046875,10267.349609375,10302.099609375,556200,0.0,0.0
2020-07-01 00:00:00+05:30,10323.7998046875,10447.0498046875,10299.599609375,10430.0498046875,573600,0.0,0.0
2020-07-02 00:00:00+05:30,10493.0498046875,10598.2001953125,10485.5498046875,10551.7001953125,597400,0.0,0.0
2020-07-03 00:00:00+05:30,10614.9501953125,10631.2998046875,10562.650390625,10607.349609375,525200,0.0,0.0
2020-07-06 00:00:00+05:30,10723.849609375,10811.400390625,10695.099609375,10763.650390625,571200,0.0,0.0
